Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data;Swiss_Product;Bio;Word_count;Unit;clean_unit;calculated_price_per100g_perStück;Weight_unit;discount_start_date;discount_ende_date;discount_start_day;discount_ende_day;Discount_duration;Discount_exist
BIO Buschbohnen 350g;6.0;pro 350g | 100g = 0.77 CHF;2.69;;2.69;;Spanien;BIO Organic;84387;https://sortiment.lidl.ch/de/bio-buschbohnen-350g-0084387;Gemüse;;no;yes;3;350g;350g;0.77;g;;;;;;no
Knoblauch;18.0;pro Stück |;0.45;;0.45;;Spanien;;82706;https://sortiment.lidl.ch/de/knoblauch-0082706;Gemüse;;no;no;1;Stück;1 Stück;0.45;Stück;;;;;;no
Bio Baby Spinat 100g;24.0;pro 100g |;1.29;;1.29;;Italien;BIO Organic;84440;https://sortiment.lidl.ch/de/bio-baby-spinat-100g-0084440;Gemüse;;no;yes;4;100g;100g;1.29;g;;;;;;no
Dattelcherry-Tomaten 500g;1.0;pro 500g | 1Kg = 3.58 CHF;1.79;;1.79;;variabel;;82411;https://sortiment.lidl.ch/de/dattelcherry-tomaten-500g-0082411;Gemüse;;no;no;2;500g;500g;0.36;g;;;;;;no
Kohlrabi;24.0;pro Stück |;1.39;;1.39;;Schweiz;;82735;https://sortiment.lidl.ch/de/kohlrabi-0082735;Gemüse;;yes;no;1;Stück;1 Stück;1.39;Stück;;;;;;no
Fenchel;19.0;pro 1kg |;3.39;;3.39;;Schweiz;;82690;https://sortiment.lidl.ch/de/fenchel-0082690;Gemüse;;yes;no;1;1kg;1000g;0.34;g;;;;;;no
Kürbis Butternuss;5.0;pro 1kg |;2.95;;2.95;;Schweiz;;82835;https://sortiment.lidl.ch/de/kuerbis-butternuss-0082835;Gemüse;;yes;no;2;1kg;1000g;0.3;g;;;;;;no
Süsskartoffeln;18.0;pro 1kg |;1.79;;1.79;;variabel;;80755;https://sortiment.lidl.ch/de/suesskartoffeln-0080755;Gemüse;;no;no;1;1kg;1000g;0.18;g;;;;;;no
Blumenkohl;2.0;pro kg |;3.99;;3.99;;Schweiz;;82875;https://sortiment.lidl.ch/de/blumenkohl-0082875;Gemüse;;yes;no;1;kg;1000g;0.4;g;;;;;;no
Wirz;;pro 1kg |;2.69;;2.69;;Schweiz;;82960;https://sortiment.lidl.ch/de/wirz-0082960;Gemüse;;yes;no;1;1kg;1000g;0.27;g;;;;;;no
