name,price,amount,price_per_amount,country_origin,additional_info,category,time,BIO,price per 100g/pice,Swiss_product,retailer,main_category,sub_category,Title,Review,Weight,Price_before_discount,Discount,Timewindow_discount,Brand,Id,Url,Date,Discount_relative,Price_higher_avg,Last_char_price,Is_last_char_9,Word_count,Unit,Weight_unit,Discount_start_date,Discount_end_date,Discount_start_day,Discount_end_day,Discount_duration,Discount_exist,unit,product_url,product_simple
FRESH CUT Gärtnersalat,1.59,250 g,0.64/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.64,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
FRESH CUT Mischsalat XXL,2.49,500 g,0.50/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.5,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
FRESH CUT Roter Kopfsalat,1.79,160 g,1.12/100g,,,obst-&-gemüse/salate,2024-11-01,False,1.12,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
"BIO NATURA Gemüsesalat, Julienne Mix",1.69,200 g,0.85/100g,,,obst-&-gemüse/salate,2024-11-01,True,0.85,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Gemüsesalat
"BIO NATURA Gemüsesalat, Weisskabis",1.69,200 g,0.85/100g,,,obst-&-gemüse/salate,2024-11-01,True,0.85,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
"BIO NATURA Gemüsesalat, Rotkabis",1.69,200 g,0.85/100g,,,obst-&-gemüse/salate,2024-11-01,True,0.85,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Rotkabis
Rucola 125g,0.85,125 g,0.68/100g,Ursprungsland: Italien,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst-&-gemüse/salate,2024-11-01,False,0.68,False,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Rucola
FRESH CUT Mischsalat Duo,1.99,400 g,0.50/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.5,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
FRESH CUT Nüsslisalat,2.99,120 g,2.49/100g,,,obst-&-gemüse/salate,2024-11-01,False,2.49,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
"Schweizer Kopfsalat pro Stück, SUISSE GARANTIE",1.49,1 Stück,1.49/Stk./pc./pz.,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst-&-gemüse/salate,2024-11-01,False,1.49,True,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Kopfsalat
"Schweizer Nüsslisalat 150g, SUISSE GARANTIE",3.29,150 g,2.19/100g,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst-&-gemüse/salate,2024-11-01,False,2.19,True,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
"Schweizer Saucenzwiebeln 500g, SUISSE GARANTIE",0.99,500 g,0.20/100g,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",gemüse/gewürze-&-zwiebeln,2024-11-01,False,0.2,True,aldi,gemüse,gewürze-&-zwiebeln,,,,,,,,,,,,,,,,,,,,,,,,,,Zwiebel
